szName	szDesc
绣花香包	对好友使用，增加好感度6点
雅·安戎·染（力道）	护腕力道+49
雅·安戎·染（疗伤）	护腕治疗成效提高347
雅·安戎·染（内会效）	护腕内功会心效果等级提高130
雅·安戎·染（内伤）	护腕内功攻击提高176点
雅·安戎·染（外会效）	护腕外功会心效果等级提高130
雅·安戎·染（外伤）	护腕外功攻击提高147
雅·安戎·染（元气）	护腕元气+49
雅·安戎·纹（拆值）	腰带拆招值提高806
雅·安戎·纹（化劲）	腰带化劲等级提高65
雅·安戎·纹（内防）	腰带内功防御等级提高65
雅·安戎·纹（内回）	腰带每秒内力恢复提升25
雅·安戎·纹（内力）	腰带内力上限提高704
雅·安戎·纹（气回）	腰带每秒气血恢复提升15
雅·安戎·纹（气血）	腰带气血上限提高649
雅·安戎·纹（闪避）	腰带闪避等级提高65
雅·安戎·纹（体质）	腰带体质+65
雅·安戎·纹（外防）	腰带外功防御等级额外提高65
雅·安戎·纹（御劲）	腰带御劲等级提高65
雅·安戎·纹（招架）	腰带招架等级提高65
雅·安戎·绣（拆值）	上衣拆招值提高806
雅·安戎·绣（化劲）	上衣化劲等级提高65
雅·安戎·绣（内防）	上衣内功防御等级提高65
雅·安戎·绣（内回）	上衣每秒内力恢复提升25
雅·安戎·绣（内力）	上衣内力上限提高704
雅·安戎·绣（气回）	上衣每秒气血恢复提升15
雅·安戎·绣（气血）	上衣气血上限提高649
雅·安戎·绣（闪避）	上衣闪避等级提高65
雅·安戎·绣（体质）	上衣体质+65
雅·安戎·绣（外防）	上衣外功防御等级额外提高65
雅·安戎·绣（御劲）	上衣御劲等级提高65
雅·安戎·绣（招架）	上衣招架等级提高65
雅·安戎·印（力道）	下装力道+49
雅·安戎·印（疗伤）	下装治疗成效提高347
雅·安戎·印（内会效）	下装内功会心效果等级提高130
雅·安戎·印（内伤）	下装内功攻击提高176点
雅·安戎·印（外会效）	下装外功会心效果等级提高130
雅·安戎·印（外伤）	下装外功攻击提高147
雅·安戎·印（元气）	下装元气+49
云锡染（下装）	下装外功命中等级提高43
云锡染（腰带）	腰带外功命中等级提高86
云锡绣（护手）	护腕外功命中等级提高86
云锡绣（上装）	上衣外功命中等级提高43
云英染（下装）	下装内功命中等级提高86
云英染（腰带）	腰带内功命中等级提高43
云英绣（护手）	护腕内功命中等级提高43
云英绣（上装）	上衣内功命中等级提高86
朱雀染（腰带）	腰带治疗成效提高231
朱雀绣（上装）	上衣治疗成效提高231
霸蜀甲片（头部）	帽子御劲等级提高22
霸蜀甲片（鞋子）	鞋子化劲等级提高22
霸蜀磨石	近身武器御劲等级提高22
白虎甲片（头部）	帽子外功攻击提高98
白虎甲片（鞋子）	鞋子外功攻击提高98
白虎磨石	近身武器近战武器伤害提高15
百鬼磨石	近身武器外功会心等级提高38
百炼甲片	上衣力道+6
百炼银甲	上衣体质+8
苍海·锻（根骨）	帽子根骨+33
苍海·锻（身法）	帽子身法+33
苍海·铸（根骨）	鞋子根骨+33
苍海·铸（身法）	鞋子身法+33
粗磨石	近身武器近战武器伤害提高1
粗砂磨石	近身武器近战武器伤害提高2，持续30分钟
翠青甲片（腰带）	腰带根骨+5
固·安戎·锻（仇恨）	帽子招式产生威胁提高22.5%
固·安戎·锻（根骨）	帽子根骨+49
固·安戎·锻（内会）	帽子内功会心等级提高130
固·安戎·锻（内命）	帽子内功命中等级提高130
固·安戎·锻（内破）	帽子内功破防等级提高130
固·安戎·锻（身法）	帽子身法+49
固·安戎·锻（外会）	帽子外功会心等级提高130
固·安戎·锻（外命）	帽子外功命中等级提高130
固·安戎·锻（外破）	帽子外功破防等级提高130
固·安戎·锻（无双）	帽子无双等级提高130
固·安戎·磨石（疗伤）	近身武器治疗成效提高347
固·安戎·磨石（内伤）	近身武器内功攻击提高176点
固·安戎·磨石（外伤）	近身武器外功攻击提高147
固·安戎·磨石（武伤）	近身武器近战武器伤害提高22
固·安戎·熔锭（疗伤）	近身武器治疗成效提高521，持续30分钟
固·安戎·熔锭（内伤）	近身武器内功攻击提高264点，持续30分钟
固·安戎·熔锭（外伤）	近身武器外功攻击提高220，持续30分钟
固·安戎·熔锭（武伤）	近身武器近战武器伤害提高33，持续30分钟
固·安戎·铸（仇恨）	鞋子招式产生威胁提高22.5%
固·安戎·铸（根骨）	鞋子根骨+49
固·安戎·铸（内会）	鞋子内功会心等级提高130
固·安戎·铸（内命）	鞋子内功命中等级提高130
固·安戎·铸（内破）	鞋子内功破防等级提高130
固·安戎·铸（身法）	鞋子身法+49
固·安戎·铸（外会）	鞋子外功会心等级提高130
固·安戎·铸（外命）	鞋子外功命中等级提高130
固·安戎·铸（外破）	鞋子外功破防等级提高130
固·安戎·铸（无双）	鞋子无双等级提高130
鬼虎甲片	上衣全属性提高3点
鬼虎甲片（头部）	帽子御劲等级提高43
鬼虎甲片（鞋子）	鞋子化劲等级提高43
鬼虎磨石	近身武器御劲等级提高65
海上磨石	近身武器近战武器伤害提高1，持续30分钟
行军·锻（外破）	帽子外功破防等级提高32
行军·磨石（外伤）	近身武器外功攻击提高32
行军·熔锭（外伤）	近身武器外功攻击提高55，持续30分钟
行军·铸（外破）	鞋子外功破防等级提高32
黑曜甲片（头部）	帽子外功攻击提高98
黑曜甲片（鞋子）	鞋子外功攻击提高98
黑曜磨石	近身武器近战武器伤害提高15
虎啸磨石	近身武器招式产生威胁提高11.2%
花岗磨石	近身武器外功防御等级额外提高22
辉玉磨石	近身武器招架等级提高43
火树银花	燃放火树银花
基础磨石	近身武器外功命中等级提高16
角砾甲片（头部）	帽子外功破防等级提高43
角砾甲片（鞋子）	鞋子外功会心等级提高43
角砾磨石	近身武器近战武器伤害提高7
金刚磨石	近身武器近战武器伤害提高2，持续30分钟
劲风磨石	近身武器外功攻击提高43
晶凝磨石	近身武器外功破防等级提高43
精金战甲	护腕御劲等级提高19
精巧铁印	对好友使用，增加好感度14点
精元磨石	近身武器内功攻击提高51点
精致铜盒	对好友使用，增加好感度10点
静气甲片	上衣招式产生威胁降低8.8%
巨灵熔锭	近身武器招式产生威胁提高22.5%，持续30分钟
连心锁	对好友使用，增加好感度6点
磷灰磨石	近身武器内功防御等级提高43
灵璧磨石	近身武器招架等级提高22
流纹甲片（头部）	帽子内功破防等级提高43
流纹甲片（鞋子）	鞋子内功会心等级提高43
流纹磨石	近身武器内功攻击提高59点
流纹染（下装）	下装内功破防等级提高43
流纹染（腰带）	腰带内功会心等级提高43
流纹绣（护手）	护腕内功会心等级提高43
流纹绣（上装）	上衣内功破防等级提高43
龙凤呈祥	燃放龙凤呈祥
龙台磨石	近身武器近战武器伤害提高3，持续30分钟
龙血磨石	近身武器命中后偷取目标所受伤害2.05%的气血
明朗·锻（仇恨）	帽子招式产生威胁提高15.1%
明朗·锻（内功破防）	帽子内功破防等级提高86
明朗·锻（外功破防）	帽子外功破防等级提高86
明朗·熔锭（疗伤）	近身武器治疗成效提高347，持续30分钟
明朗·铸（仇恨）	鞋子招式产生威胁提高15.1%
明朗·铸（内功破防）	鞋子内功破防等级提高86
明朗·铸（外功破防）	鞋子外功破防等级提高86
磨石	近身武器近战武器伤害提高1，持续30分钟
内云磨石	近身武器近战武器伤害提高3，持续30分钟
年年有鱼灯	放飞升空，风华绚烂
片麻磨石	近身武器招架等级提高43
瀑沙熔锭	近身武器近战武器伤害提高22，持续30分钟
岐黄甲片（头部）	帽子气血上限提高216
岐黄甲片（鞋子）	鞋子气血上限提高216
岐黄磨石	近身武器治疗成效提高101
青龙甲片（头部）	帽子内功攻击提高117点
青龙甲片（鞋子）	鞋子内功攻击提高117点
润色磨石	近身武器外功会心等级提高16
水磨石	近身武器招架等级提高10
燧棱磨石	近身武器招式产生威胁提高14.6%
天罡甲片	护腕外功命中等级提高10，内功命中等级提高14
天罡磨石	近身武器气血上限提高432
天工·索野	携带：可用于所有生活技艺制作的工具
天台磨石	近身武器近战武器伤害提高3，持续30分钟
田黄甲片（头部）	帽子治疗成效提高231
田黄甲片（鞋子）	鞋子治疗成效提高231
田黄磨石	近身武器治疗成效提高231
铁偶	对好友使用，增加好感度12点
铁纹甲片	护腕外功攻击提高22
铁血甲片（上装）	上衣体质+4
铁血甲片（头部）	帽子体质+7
铜镜	对好友使用，增加好感度12点
铜偶	对好友使用，增加好感度4点
细磨石	近身武器外功破防等级提高38
絮泊熔锭	近身武器治疗成效提高347，持续30分钟
玄铁甲片	上衣外功防御等级额外提高10
玄铁磨石	近身武器近战武器伤害提高3
玄武磨石	近身武器内功防御等级提高22
血磨石	近身武器近战武器伤害提高6
焰火棒	燃放焰火棒
燕勒磨石	近身武器外功防御等级提高43
耀龙银甲片	护腕外功会心等级提高19
益神甲片	上衣每秒内力恢复提升7
益元甲片	上衣元气+13
益元甲片（头部）	帽子内力上限提高59
益元甲片（鞋子）	鞋子内力上限提高59
熠熠生辉	将熠熠生辉烟花放入花灯内，锦上添花
银精巧饰	对好友使用，增加好感度18点
银龙甲片	护腕体质+10
银龙磨石	近身武器内功防御等级提高10
银龙战甲	上衣内功防御等级提高19
银纹甲片	上衣身法+6
雨花甲片（头部）	帽子内功攻击提高117点
雨花甲片（鞋子）	鞋子内功攻击提高117点
雨花磨石	近身武器内功攻击提高117点
御磨石	近身武器外功防御等级额外提高8
元宝灯	放飞升空，财源滚滚
云龙磨石	近身武器御劲等级提高19
云锡甲片（鞋子）	鞋子外功命中等级提高86
云锡磨石	近身武器外功命中等级提高43
云英甲片（鞋子）	鞋子内功命中等级提高43
云英磨石	近身武器内功命中等级提高43
湛蓝甲片（上装）	上衣力道+5
湛蓝甲片（腰带）	腰带力道+3
朱雀甲片（头部）	帽子治疗成效提高231
朱雀甲片（鞋子）	鞋子治疗成效提高231
珠	与璧合二为一，可得到珠联璧合
坠宵熔锭	近身武器内功攻击提高176点，持续30分钟
紫碧甲片（头部）	帽子身法+3
紫碧甲片（腰带）	腰带身法+3
百花香囊	体质提高97点，持续30分钟
柏桂香囊	力道提高73点，持续30分钟
般若水	施展伤害或疗伤招式后，有20%几率使小队成员内功攻击提高8点，持续15秒，最多叠加5层，持续15分钟
避水金针	闭气时间提高30秒，持续4分钟
避水银针	闭气时间提高15秒，持续2分钟
赤炼水	施展伤害或疗伤招式后，有20%几率使小队成员气血值上限提高50点，持续15秒，最多叠加5层，持续15分钟
摧心针	身法降低140点，持续2分钟
飞鱼丸	游泳速度提高50
上品逍遥散	跑步速度提高70%，持续10秒
桂枝香囊	身法提高73点，持续30分钟
行军定志散	拆招值提升604点，持续30分钟
行军活络散	每秒内力恢复提升19点，持续30分钟
行军静心散	治疗效果提高260点，持续30分钟
行军亢龙散	外功基础攻击提高110点，持续30分钟
行军展凤散	内功伤害提高132点，持续30分钟
行军止血散	每秒气血恢复提升11点，持续30分钟
护心补筋丹	体质提高36点，根骨提高36点，持续30分钟
护心健骨丹	体质提高36点，力道提高48点，持续30分钟
护心聚魄丹	体质提高36点，元气提高44点，持续30分钟
护心强身丹	体质提高36点，身法提高99点，持续30分钟
化瘀香囊	气血最大值提高730点，持续30分钟
涣精针	目标元气降低64点，持续2分钟
混元丹	化解混元性内功伤害3780点，持续30分钟
活气散	回复气力300点
健体香囊	外功破防值提高115点，持续30分钟
健胃散	卸除自身饱食状态
截元丹	使用后，延长目标原地复活等待时间5分钟
金针·烟	目标外功基础攻击力降低50%，持续2分钟
金针·影	目标内功基础攻击力降低50%，持续2分钟
空山新雨	气血内力值恢复但无法做运功，持续15秒
迷香囊	提高当前功体最受益的攻击力40点，持续30分钟
沐火丹	化解阳性内功伤害3780点，持续30分钟
纳元丹	增加100点修为值
辟邪散	卸除自身一个毒状态
破冰丸	化解阴性内功伤害3780点，持续30分钟
强身香囊	拆招值提高584点，持续30分钟
清心香囊	内力最大值提高792点，持续30分钟
软筋针	目标力道降低60点，持续2分钟
润肺香囊	外功会心效果等级提高195点，持续30分钟
尚·百花香囊	体质提高146点，持续30分钟
尚·柏桂香囊	力道提高110点，持续30分钟
尚·桂枝香囊	身法提高110点，持续30分钟
尚·上品定志丹	拆招值提升1813点，持续30分钟
尚·上品活络丹	回复内力10000点
尚·上品活血丹	每秒气血恢复提升33点，持续30分钟
尚·上品静心丸	治疗效果提高781点，持续30分钟
尚·上品亢龙丹	外功基础攻击提高330点，持续30分钟
尚·上品凝神丹	内力上限提升1584点，持续30分钟
尚·上品破秽丹	招式附加威胁值提高51%，持续30分钟
尚·上品疏络丹	每秒内力恢复提升56点，持续30分钟
尚·上品万花丹	外功会心效果提高292点，持续30分钟
尚·上品玉露丹	内功会心效果等级提高292点，持续30分钟
尚·上品展凤丹	内功伤害提高396点，持续30分钟
尚·上品长生丹	气血上限提升1459点，持续30分钟
尚·上品止血丹	回复气血20000点
尚·栀仁香囊	根骨提高110点，持续30分钟
尚·紫荷香囊	元气提高110点，持续30分钟
素针·定	对目标使用，使目标定身5秒
素针·封	对目标使用，降低目标内功伤害50%，持续10秒
素针·锢	对目标使用，降低目标外功伤害50%，持续10秒
素针·缓	对目标使用，使目标移动速度降低30%，持续10秒
素针·禁	对目标使用，使目标所有内功防御等级降低176点，持续10秒
素针·破	对目标使用，使目标外功防御等级降低33点，持续10秒
太白丹	全属性提高4点，持续15分钟
檀香囊	提高当前功体最受益的属性20点，持续30分钟
提神香囊	内功破防值提高92点，持续30分钟
万花丹	外功会心等级提高110点，持续15分钟
五毒针	毒性攻击提高99点，持续15分钟
逸隐水	施展伤害或疗伤招式后，有20%几率使小队成员每秒内力恢复值提高1点，持续15秒，最多叠加5层，持续15分钟
意气水	施展伤害或疗伤招式后，有20%几率使小队成员外功攻击提高5点，持续15秒，最多叠加5层，持续15分钟
正骨膏	化解外功伤害3050点，持续30分钟
重黎水	施展伤害或疗伤招式后，有20%几率使小队成员每秒气血恢复值提高1点，持续15秒，最多叠加5层，持续15分钟
钻心针	目标毒性防御等级降低80点，持续2分钟
珠·铉	与【璧·铉】合二为一，可得到珠联璧合·铉
璧·铉	与【珠·铉】合二为一，可得到珠联璧合·铉
炼·耐受·御(壹)	内功防御
炼·守御·御(壹)	外功防御
炼·灵动·御(壹)	闪避
炼·不屈·御(壹)	招架
炼·破势·御(壹)	拆招
炼·大御·御(壹)	御劲
炼·海纳·疗(壹)	治疗成效
炼·回春·全(壹)	气血
炼·挑拨·御(壹)	威胁值
炼·霜冷·内(壹)	内功攻击
炼·鹤顶·内(壹)	内功攻击
炼·琉璃·内(壹)	内功攻击
炼·烈阳·内(壹)	内功攻击
炼·雷鸣·内(壹)	内功攻击
炼·锐刃·外(壹)	外功攻击
炼·激流·外(壹)	内功攻击
炼·霸体·御(壹)	体质
炼·燎原·内(壹)	内功会心
炼·融天·内(壹)	内功会心
炼·化雪·内(壹)	内功会心
炼·蚀骨·内(壹)	内功会心
炼·虹卷·内(壹)	内功会心
炼·见切·外(壹)	外功会心
炼·星见·内(壹)	内功会心
炼·苍雷·全(壹)	全会心
炼·血魂·御(壹)	气血
炼·焚虚·内(壹)	内功破防
炼·日炎·内(壹)	内功破防
炼·混沌·内(壹)	内功破防
炼·冻髓·内(壹)	内功破防
炼·腐心·内(壹)	内功破防
炼·斩铁·外(壹)	外功破防
炼·灭气·外(壹)	内功破防
炼·血魂·全(壹)	气血
炼·穿石·内(壹)	内功会效
炼·界影·内(壹)	内功会效
炼·浴火·内(壹)	内功会效
炼·霹雳·内(壹)	内功会效
炼·杯雪·内(壹)	内功会效
炼·月华·内(壹)	内功会效
炼·痛击·外(壹)	外功会效
炼·裂云·外(壹)	全会效
炼·灵根·内(壹)	根骨
炼·真元·内(壹)	元气
炼·苍雷·内(贰)	全会心
炼·苍雷·外(贰)	全会心
炼·裂云·内(贰)	全会效
炼·裂云·外(贰)	全会效
炼·痛击·外(贰)	外功会效
炼·月华·内(贰)	内功会效
炼·斩铁·外(贰)	外功破防
炼·血魂·内(贰)	气血
炼·血魂·外(贰)	气血
炼·血魂·御(贰)	气血
炼·血魂·疗(壹)	气血
炼·化雪·疗(壹)	内功会心
炼·蚀骨·疗(壹)	内功会心
炼·浴火·内(贰)	内功会效
炼·霹雳·内(贰)	内功会效
炼·杯雪·内(贰)	内功会效
炼·霸体·内(贰)	体质
炼·霸体·外(贰)	体质
炼·融天·疗(壹)	内功会心
炼·穿石·内(贰)	内功会效
炼·界影·内(贰)	内功会效
炼·海纳·疗(贰)	治疗成效
炼·霸体·御(贰)	体质
炼·霸体·疗(壹)	体质
炼·杯雪·疗(壹)	内功会效
炼·化雪·疗(贰)	内功会心
炼·蚀骨·疗(贰)	内功会心
炼·融天·疗(贰)	内功会心
炼·穿石·疗(壹)	内功会效
炼·杯雪·疗(贰)	内功会效
炼·穿石·疗(贰)	内功会效
炼·霹雳·疗(贰)	内功会效
炼·霹雳·疗(壹)	内功会效
炼·裂激·内(壹)	内功命中
炼·真刚·外(壹)	力道
炼·瞬影·外(壹)	身法
炼·无双·内(壹)	无双
炼·无双·外(壹)	无双
炼·回春·御(壹)	气血
炼·耐受·御(贰)	内功防御
炼·守御·御(贰)	外功防御
炼·灵动·御(贰)	闪避
炼·大御·御(贰)	御劲
炼·回春·内(贰)	气血
炼·回春·外(贰)	气血
炼·回春·御(贰)	气血
炼·回春·疗(贰)	气血
炼·灭气·内(贰)	内功破防
炼·碎冰·内(壹)	内功命中
炼·燎原·内(贰)	内功会心
炼·融天·内(贰)	内功会心
炼·化雪·内(贰)	内功会心
炼·无双·内(贰)	无双
炼·无双·外(贰)	无双
炼·化玉·内(壹)	内功命中
炼·蚀骨·内(贰)	内功会心
炼·虹卷·内(贰)	内功会心
炼·腐心·内(贰)	内功破防
炼·无双·御(贰)	无双
炼·挑拨·御(贰)	威胁值
炼·点睛·内(壹)	内功命中
炼·焚虚·内(贰)	内功破防
炼·混沌·内(贰)	内功破防
炼·冻髓·内(贰)	内功破防
炼·灵根·内(贰)	根骨
炼·真刚·外(贰)	力道
炼·灼筋·内(壹)	内功命中
炼·日炎·外(贰)	内功破防
炼·不屈·御(贰)	招架
炼·破势·御(贰)	拆招
炼·瞬影·外(贰)	身法
炼·真元·内(贰)	元气
炼·心眼·外(壹)	外功命中
炼·灵识·内(壹)	内功命中
炼·必中·内(壹)	全命中
炼·必中·外(壹)	全命中
炼·回春·疗(壹)	气血
炼·无双·御(壹)	无双
炼·霸体·全(壹)	体质
炼·灼筋·内(贰)	内功命中
炼·裂激·内(贰)	内功命中
炼·碎冰·内(贰)	内功命中
炼·化玉·内(贰)	内功命中
炼·点睛·内(贰)	内功命中
炼·锐刃·外(贰)	外功攻击
炼·心眼·外(贰)	外功命中
炼·灵识·内(贰)	内功命中
炼·见切·外(贰)	外功会心
炼·星见·内(贰)	内功会心
炼·鹤顶·内(贰)	内功攻击
炼·琉璃·内(贰)	内功攻击
炼·激流·内(贰)	内功攻击
炼·烈阳·内(贰)	内功攻击
炼·雷鸣·内(贰)	内功攻击
炼·霜冷·内(贰)	内功攻击
炼·灵根·疗(壹)	根骨
炼·必中·内(贰)	全命中
炼·必中·外(贰)	全命中
